CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41029001500,Oregon,Jackson,4640,2394,2246,1.7,94.7,0.6,0.0,1.5,0.0,3930,46750.0,4875.0,36500.0,7607.0,8.2,6.0,45.5,13.7,24.5,12.8,3.5,79.7,1.8,0.1,5.4,1.8,11.2,19.4,1821,70.6,11.1,18.3,0.0,8.6
41029001601,Oregon,Jackson,3747,1826,1921,20.4,77.3,0.2,1.0,0.0,0.0,2943,32119.0,7390.0,20018.0,3603.0,22.2,24.0,31.7,23.3,24.7,8.3,12.0,85.2,6.6,1.4,5.9,0.0,0.9,13.8,1350,79.2,19.3,1.5,0.0,16.7
41029001602,Oregon,Jackson,7208,3115,4093,26.2,68.2,0.0,0.0,1.1,0.3,4955,36660.0,7141.0,20570.0,2735.0,18.6,17.3,32.1,23.1,27.6,3.5,13.7,83.2,6.7,1.7,1.3,3.6,3.5,18.4,2844,75.0,6.7,18.3,0.0,12.3
41029001700,Oregon,Jackson,7514,3646,3868,10.8,82.2,0.1,1.8,1.1,0.0,5752,33585.0,8345.0,20811.0,2398.0,23.7,32.4,37.9,23.8,24.8,6.4,7.1,74.5,8.8,3.1,0.3,1.2,12.0,19.1,3443,74.9,13.2,11.9,0.0,8.7
41029001800,Oregon,Jackson,8208,3635,4573,4.8,88.8,1.9,0.0,1.4,0.0,6669,51341.0,11802.0,31185.0,4033.0,19.1,24.2,50.1,18.5,16.8,5.5,9.1,65.3,9.2,0.6,5.0,4.7,15.2,15.9,3430,65.0,17.9,16.5,0.6,8.1
41029001900,Oregon,Jackson,2686,1100,1586,9.5,78.8,2.2,0.9,4.1,0.0,2224,25988.0,3840.0,14581.0,2028.0,34.7,32.9,36.8,27.4,26.9,2.4,6.4,51.6,7.1,4.5,25.4,6.1,5.2,21.3,1181,62.3,26.8,10.8,0.0,13.1
41029002000,Oregon,Jackson,2294,1061,1233,3.4,91.5,1.6,0.0,1.7,0.0,1967,47154.0,3955.0,32799.0,5364.0,15.7,11.2,45.7,21.4,24.6,5.0,3.3,46.9,4.0,4.6,24.6,11.6,8.3,13.6,1296,70.2,17.1,12.7,0.0,8.1
41029002100,Oregon,Jackson,3488,1544,1944,5.0,86.6,0.0,0.0,3.4,0.0,2780,42178.0,8764.0,41015.0,7224.0,14.1,15.4,59.6,14.7,16.0,2.8,6.8,62.2,7.3,2.1,4.6,3.1,20.7,18.2,1479,80.7,11.0,8.3,0.0,10.5
41029002200,Oregon,Jackson,4551,2097,2454,0.9,92.3,3.0,0.0,1.4,0.0,3649,50250.0,15967.0,34128.0,3430.0,16.5,23.4,54.4,12.4,20.3,8.6,4.3,63.6,1.8,2.0,8.1,7.2,17.3,19.0,2375,58.9,15.7,25.3,0.0,5.4
41029002300,Oregon,Jackson,1649,877,772,4.9,90.6,0.0,0.5,1.0,0.0,1381,57188.0,11190.0,35590.0,6585.0,11.1,4.4,41.3,11.3,30.4,11.7,5.2,65.9,5.6,0.0,6.2,8.4,13.9,25.2,690,65.2,11.0,23.8,0.0,12.9
